12-18-2023T06:57:00.000Z,41052.01000000,41061.10000000,40982.00000000,40982.01000000,84.51483000
12-18-2023T07:00:00.000Z,40982.01000000,41071.10000000,40960.84000000,41063.00000000,115.65911000
12-18-2023T07:03:00.000Z,41060.06000000,41124.00000000,41051.11000000,41101.97000000,104.06544000
12-18-2023T07:06:00.000Z,41101.97000000,41101.98000000,41024.94000000,41078.50000000,66.26125000
12-18-2023T07:09:00.000Z,41078.50000000,41125.00000000,41072.00000000,41097.34000000,71.08578000
12-18-2023T07:12:00.000Z,41097.35000000,41121.10000000,41090.00000000,41108.01000000,58.05448000
12-18-2023T07:15:00.000Z,41108.01000000,41117.02000000,41057.17000000,41085.99000000,52.37070000
12-18-2023T07:18:00.000Z,41086.00000000,41129.46000000,41080.08000000,41094.83000000,48.76132000
12-18-2023T07:21:00.000Z,41094.83000000,41128.00000000,41080.00000000,41081.42000000,56.32690000
12-18-2023T07:24:00.000Z,41081.43000000,41094.00000000,41031.10000000,41036.04000000,72.61132000
12-18-2023T07:27:00.000Z,41036.03000000,41039.27000000,40968.00000000,40989.72000000,197.86373000
12-18-2023T07:30:00.000Z,40989.72000000,41004.01000000,40951.10000000,40979.96000000,188.30418000
12-18-2023T07:33:00.000Z,40979.97000000,40979.97000000,40853.99000000,40854.23000000,151.95003000
12-18-2023T07:36:00.000Z,40853.99000000,40868.76000000,40801.00000000,40844.00000000,241.10193000
12-18-2023T07:39:00.000Z,40844.01000000,40971.99000000,40840.00000000,40963.01000000,80.81750000
12-18-2023T07:42:00.000Z,40963.01000000,40968.00000000,40872.98000000,40877.99000000,85.56446000
12-18-2023T07:45:00.000Z,40877.99000000,40961.10000000,40870.00000000,40941.56000000,78.45917000
12-18-2023T07:48:00.000Z,40941.55000000,40957.42000000,40902.48000000,40917.54000000,83.72363000
12-18-2023T07:51:00.000Z,40917.55000000,40958.00000000,40917.54000000,40954.07000000,49.00105000
12-18-2023T07:54:00.000Z,40954.07000000,40954.08000000,40838.93000000,40918.14000000,85.92574000
12-18-2023T07:57:00.000Z,40918.14000000,40941.10000000,40890.67000000,40900.57000000,84.23958000
12-18-2023T08:00:00.000Z,40900.57000000,40950.87000000,40861.10000000,40950.00000000,129.15039000
12-18-2023T08:03:00.000Z,40950.00000000,41034.58000000,40948.96000000,41001.11000000,149.74249000
12-18-2023T08:06:00.000Z,41001.10000000,41018.10000000,40955.78000000,40995.99000000,78.01789000
12-18-2023T08:09:00.000Z,40995.98000000,41048.00000000,40990.00000000,41019.27000000,93.46896000
12-18-2023T08:12:00.000Z,41019.26000000,41020.78000000,40992.00000000,40992.79000000,99.73544000
12-18-2023T08:15:00.000Z,40992.80000000,41045.34000000,40968.01000000,41042.20000000,134.23672000
12-18-2023T08:18:00.000Z,41042.20000000,41045.10000000,41011.90000000,41014.00000000,89.80853000
12-18-2023T08:21:00.000Z,41014.01000000,41044.86000000,41006.27000000,41044.85000000,70.72794000
12-18-2023T08:24:00.000Z,41044.86000000,41065.76000000,41034.19000000,41041.95000000,56.67694000
12-18-2023T08:27:00.000Z,41041.95000000,41058.21000000,41034.28000000,41045.99000000,36.28479000
12-18-2023T08:30:00.000Z,41046.00000000,41057.70000000,41002.00000000,41031.09000000,64.70560000
12-18-2023T08:33:00.000Z,41031.10000000,41054.01000000,41021.10000000,41039.24000000,46.18299000
12-18-2023T08:36:00.000Z,41039.24000000,41079.40000000,41026.10000000,41026.10000000,91.52291000
12-18-2023T08:39:00.000Z,41026.10000000,41079.76000000,41026.00000000,41078.00000000,61.32925000
12-18-2023T08:42:00.000Z,41077.99000000,41107.56000000,41074.00000000,41107.55000000,51.85941000
12-18-2023T08:45:00.000Z,41107.55000000,41111.00000000,41058.01000000,41064.12000000,54.55982000
12-18-2023T08:48:00.000Z,41064.11000000,41092.77000000,41057.48000000,41092.76000000,28.99575000
12-18-2023T08:51:00.000Z,41092.77000000,41112.11000000,41091.20000000,41100.60000000,44.97495000
12-18-2023T08:54:00.000Z,41100.61000000,41108.01000000,41096.49000000,41096.49000000,23.70927000
12-18-2023T08:57:00.000Z,41096.50000000,41108.02000000,41090.92000000,41090.92000000,27.49920000
12-18-2023T09:00:00.000Z,41090.92000000,41111.10000000,41069.60000000,41069.60000000,53.44804000
12-18-2023T09:03:00.000Z,41069.61000000,41081.09000000,41051.12000000,41056.00000000,56.90563000
12-18-2023T09:06:00.000Z,41056.00000000,41056.03000000,41044.23000000,41056.02000000,28.34975000
12-18-2023T09:09:00.000Z,41056.03000000,41085.84000000,41048.27000000,41079.98000000,48.52128000
12-18-2023T09:12:00.000Z,41079.98000000,41089.83000000,41079.98000000,41089.83000000,28.20010000
12-18-2023T09:15:00.000Z,41089.82000000,41120.00000000,41089.82000000,41100.00000000,49.66495000
12-18-2023T09:18:00.000Z,41100.01000000,41114.17000000,41089.82000000,41089.82000000,33.79177000
12-18-2023T09:21:00.000Z,41089.83000000,41134.05000000,41080.48000000,41122.26000000,59.47540000
12-18-2023T09:24:00.000Z,41122.26000000,41179.44000000,41122.26000000,41179.44000000,48.66262000
12-18-2023T09:27:00.000Z,41179.43000000,41181.10000000,41163.82000000,41181.09000000,56.34971000
12-18-2023T09:30:00.000Z,41181.10000000,41194.00000000,41131.10000000,41135.48000000,69.96825000
12-18-2023T09:33:00.000Z,41135.49000000,41144.53000000,41112.63000000,41112.63000000,55.88333000
12-18-2023T09:36:00.000Z,41112.63000000,41126.00000000,41100.00000000,41100.01000000,42.54674000
12-18-2023T09:39:00.000Z,41100.00000000,41140.37000000,41100.00000000,41127.67000000,37.73976000
12-18-2023T09:42:00.000Z,41127.68000000,41151.10000000,41127.67000000,41151.09000000,18.06806000
12-18-2023T09:45:00.000Z,41151.09000000,41154.00000000,41131.10000000,41149.87000000,49.03907000
12-18-2023T09:48:00.000Z,41149.86000000,41157.99000000,41130.52000000,41157.98000000,39.15224000
12-18-2023T09:51:00.000Z,41157.98000000,41196.23000000,41157.98000000,41196.23000000,36.77394000
12-18-2023T09:54:00.000Z,41196.22000000,41200.00000000,41176.10000000,41182.72000000,36.94038000
12-18-2023T09:57:00.000Z,41182.72000000,41197.24000000,41182.71000000,41187.53000000,69.60457000
12-18-2023T10:00:00.000Z,41187.53000000,41187.60000000,41157.81000000,41157.82000000,104.17867000
12-18-2023T10:03:00.000Z,41157.81000000,41164.73000000,41139.72000000,41139.73000000,53.92352000
12-18-2023T10:06:00.000Z,41139.73000000,41150.62000000,41136.99000000,41137.00000000,50.22525000
12-18-2023T10:09:00.000Z,41137.00000000,41137.00000000,41106.00000000,41108.46000000,48.63677000
12-18-2023T10:12:00.000Z,41108.46000000,41128.82000000,41108.45000000,41119.98000000,45.57855000
12-18-2023T10:15:00.000Z,41119.99000000,41119.99000000,41100.02000000,41110.39000000,42.45232000
12-18-2023T10:18:00.000Z,41110.39000000,41118.00000000,41086.58000000,41092.48000000,55.80812000
12-18-2023T10:21:00.000Z,41092.47000000,41135.98000000,41092.47000000,41135.98000000,48.15442000
12-18-2023T10:24:00.000Z,41135.97000000,41185.62000000,41135.97000000,41185.61000000,55.14691000
